# CoSQM_B, CE318T_514nm
1.947561743069460505e+01,9.829396000000001354e-02
1.938074763856663552e+01,2.087515833333332960e-01
1.964113690895403863e+01,6.738399999999999945e-02
1.929325717842952059e+01,6.960711111111110572e-02
1.959229574194256429e+01,1.099310000000000009e-01
1.962609204418908249e+01,8.677118181818181675e-02
1.969591143023938073e+01,9.771575000000000399e-02
1.984009480176070284e+01,6.887311428571429861e-02
1.971562113195105326e+01,6.548556249999999690e-02
1.979945536314482979e+01,6.333295000000001285e-02
1.989452722662907291e+01,8.032104878048780539e-02
2.003832668688307095e+01,5.151455555555554955e-02
1.985663035795490572e+01,5.452483333333332793e-02
1.972572762266489121e+01,1.402847446808510867e-01
1.738506528937624296e+01,1.391908696969696990e+00
1.732619551633674249e+01,9.525194999999999634e-01
1.867219230661278928e+01,6.038461636363636753e-01
1.907493652343339718e+01,3.478019259259259033e-01
1.971782352863755250e+01,8.765474074074075528e-02
1.939755935466071080e+01,2.900215000000000987e-01
1.933114271384179617e+01,1.551280882352941148e-01
1.980235525184375689e+01,5.497207142857141876e-02
1.960884426654383006e+01,4.441378947368419122e-02
1.965834692875777634e+01,2.115058823529411894e-02
1.903271347488873388e+01,4.913860204081630378e-01
1.960219410138328655e+01,8.822066315789477142e-02
1.937814943674722912e+01,1.589497755102040610e-01
1.982788159000364914e+01,4.051588785046730118e-02
1.960555960946836507e+01,8.312682242990650228e-02
1.958332981816827711e+01,1.511058240740740799e-01
1.951943114086700604e+01,2.671237314814814967e-01
1.955975536208012144e+01,1.221558333333333385e-01
1.961067524219813052e+01,1.652263888888889365e-01
1.980538216171742505e+01,1.151875714285714447e-01
1.890178068756938146e+01,1.120695666666666312e+00
1.927347485491763024e+01,6.744028947368421179e-01
1.947035075719984931e+01,3.209086285714287112e-01
1.954127238475756556e+01,1.056860810810811013e-01
1.960358485245769700e+01,8.335491428571428774e-02
1.955060217439875814e+01,1.706771428571428606e-01
1.975214001046217405e+01,1.577722162162162878e-01
1.958246603701474697e+01,8.891024242424240553e-02
1.954025976138295562e+01,1.709378108108108030e-01
1.916980652465925772e+01,4.218400270270268870e-01
1.913560644200806493e+01,7.076403636363637339e-01
1.970088309833210261e+01,9.178065714285715826e-02
1.964788136441557853e+01,1.364245675675675729e-01
