# CoSQM_G, CE318T_546nm
1.803829244979547752e+01,1.067384666666666843e-01
1.969384865095795689e+01,9.829396000000001354e-02
1.947743939607555319e+01,2.087515833333332960e-01
1.981214519944082753e+01,6.738399999999999945e-02
1.943117285273623907e+01,6.960711111111110572e-02
1.974278043785274050e+01,1.099310000000000009e-01
1.978927833027744043e+01,8.677118181818181675e-02
1.984447249029630100e+01,9.771575000000000399e-02
1.994078177981471001e+01,6.887311428571429861e-02
1.984485323377475652e+01,6.548556249999999690e-02
1.992607979348227332e+01,6.333295000000001285e-02
2.001843437557232974e+01,8.032104878048780539e-02
2.018119541198070976e+01,5.151455555555554955e-02
1.998117416328699392e+01,5.452483333333332793e-02
1.988528078434612212e+01,1.402847446808510867e-01
1.728346962023276134e+01,1.391908696969696990e+00
1.733395802048771017e+01,9.525194999999999634e-01
1.875289127522623289e+01,6.038461636363636753e-01
1.914888138920935390e+01,3.478019259259259033e-01
1.982020645102448952e+01,8.765474074074075528e-02
1.950924498597952450e+01,2.900215000000000987e-01
1.940853436130242571e+01,1.551280882352941148e-01
1.989755062148935849e+01,5.497207142857141876e-02
1.976432865370609093e+01,4.441378947368419122e-02
1.984645897308891804e+01,2.115058823529411894e-02
1.912558520754080860e+01,4.913860204081630378e-01
1.973160268925917293e+01,8.822066315789477142e-02
1.951662442213344306e+01,1.589497755102040610e-01
1.997978173236588262e+01,4.051588785046730118e-02
1.973332635866863782e+01,8.312682242990650228e-02
1.970167696655985168e+01,1.511058240740740799e-01
1.964160418683285059e+01,2.671237314814814967e-01
1.965662079249638694e+01,1.221558333333333385e-01
1.972174367035711029e+01,1.652263888888889365e-01
1.993871999213198620e+01,1.151875714285714447e-01
1.891067113577677716e+01,1.120695666666666312e+00
1.931244857134556270e+01,6.744028947368421179e-01
1.958366401833995241e+01,3.209086285714287112e-01
1.965225013448628744e+01,1.056860810810811013e-01
1.972787437045126424e+01,8.335491428571428774e-02
1.964780670254288708e+01,1.706771428571428606e-01
1.983260025156756967e+01,1.577722162162162878e-01
1.968245464669772815e+01,8.891024242424240553e-02
1.962176899581773881e+01,1.709378108108108030e-01
1.924984152975462948e+01,4.218400270270268870e-01
1.917862895606862494e+01,7.076403636363637339e-01
1.984757851883082935e+01,9.178065714285715826e-02
1.975390060304773243e+01,1.364245675675675729e-01
