# CoSQM_Y, CE318T_562nm
1.856561159987775866e+01,2.087515833333332960e-01
1.893813729172473970e+01,6.738399999999999945e-02
1.856534652455928480e+01,6.960711111111110572e-02
1.885647395708147656e+01,1.099310000000000009e-01
1.890357604876562192e+01,8.677118181818181675e-02
1.896614297186476250e+01,9.771575000000000399e-02
1.903173535522992665e+01,6.887311428571429861e-02
1.897977079021510605e+01,6.548556249999999690e-02
1.906719849934962951e+01,6.333295000000001285e-02
1.913708763385274025e+01,8.032104878048780539e-02
1.922773030634420621e+01,5.151455555555554955e-02
1.910059842590551327e+01,5.452483333333332793e-02
1.900809430324120441e+01,1.402847446808510867e-01
1.638409287077896792e+01,1.391908696969696990e+00
1.634202385300545757e+01,9.525194999999999634e-01
1.780016766527604233e+01,6.038461636363636753e-01
1.822477856665865659e+01,3.478019259259259033e-01
1.892384629063507262e+01,8.765474074074075528e-02
1.859953904503229438e+01,2.900215000000000987e-01
1.849478275356822010e+01,1.551280882352941148e-01
1.900178684860582479e+01,5.497207142857141876e-02
1.889238476282918100e+01,4.441378947368419122e-02
1.904678745362235759e+01,2.115058823529411894e-02
1.822146409503131537e+01,4.913860204081630378e-01
1.884054126329973755e+01,8.822066315789477142e-02
1.863743203732532905e+01,1.589497755102040610e-01
1.910906151748955750e+01,4.051588785046730118e-02
1.885005513577211289e+01,8.312682242990650228e-02
1.880878624781545483e+01,1.511058240740740799e-01
1.874399751634866362e+01,2.671237314814814967e-01
1.875556678747526362e+01,1.221558333333333385e-01
1.882900120312126901e+01,1.652263888888889365e-01
1.906749160305061963e+01,1.151875714285714447e-01
1.799329570835529069e+01,1.120695666666666312e+00
1.840954658318918646e+01,6.744028947368421179e-01
1.869831762850178336e+01,3.209086285714287112e-01
1.877215976368088590e+01,1.056860810810811013e-01
1.884548942375357328e+01,8.335491428571428774e-02
1.876080671721403803e+01,1.706771428571428606e-01
1.898448329269516321e+01,1.577722162162162878e-01
1.881421380653025466e+01,8.891024242424240553e-02
1.872902410688271857e+01,1.709378108108108030e-01
1.834595833787637176e+01,4.218400270270268870e-01
1.827370473460987199e+01,7.076403636363637339e-01
1.899193619033766112e+01,9.178065714285715826e-02
1.887125767785099129e+01,1.364245675675675729e-01
