YYYY/mm/dd,MEAN(HR_sunrise),STD(HR_sunrise),MEAN(HR_sunset),STD(HR_sunset)
2020/01/01,46.80,0.59,46.71,0.60
2020/01/02,47.43,1.69,31.76,2.05
2020/01/03,43.84,1.50,40.71,2.09
2020/01/04,64.60,0.87,60.04,1.12
2020/01/05,55.73,0.79,54.82,0.92
2020/01/06,58.49,1.18,51.60,0.60
2020/01/07,60.24,2.87,52.88,1.50
2020/01/08,60.06,1.59,49.43,0.60
2020/01/09,56.35,0.88,51.29,0.91
2020/01/10,74.34,2.45,62.34,1.63
2020/01/11,54.92,0.84,51.26,1.28
2020/01/12,56.96,1.75,58.06,1.54
2020/01/13,65.60,0.49,60.61,0.91
2020/01/14,30.54,2.82,51.80,0.40
2020/01/15,25.27,0.44,46.04,2.23
2020/01/16,51.28,1.51,60.30,1.64
2020/01/17,57.64,1.53,54.52,1.27
2020/01/18,72.40,0.80,54.37,1.37
2020/01/19,60.86,3.60,64.24,1.25
2020/01/20,52.39,0.49,49.02,0.80
2020/01/21,50.37,1.59,51.70,0.50
2020/01/22,57.72,0.96,48.22,0.41
2020/01/23,58.76,1.15,49.73,0.44
2020/01/24,63.80,0.53,51.14,2.54
2020/01/25,60.57,0.49,50.00,1.73
2020/01/26,59.55,0.70,54.31,0.86
2020/01/27,62.00,0.70,53.22,0.91
2020/01/28,68.12,0.85,66.54,1.73
2020/01/29,23.49,0.70,50.54,6.07
2020/01/30,22.81,2.68,55.10,2.49
2020/01/31,14.02,0.14,60.35,0.72
2020/02/01,15.81,0.56,34.57,6.79
2020/02/02,38.35,5.06,67.73,1.24
2020/02/03,27.98,2.59,30.46,7.33
2020/02/04,41.35,0.69,24.44,2.47
2020/02/05,21.09,0.79,55.15,2.75
2020/02/06,53.10,0.90,36.81,0.82
2020/02/07,64.40,0.49,50.04,2.15
2020/02/08,57.36,0.78,56.06,0.94
2020/02/09,69.67,1.64,54.58,1.58
2020/02/10,64.06,2.54,74.11,0.55
2020/02/11,69.60,0.49,43.04,1.27
2020/02/12,31.72,0.92,70.19,2.51
2020/02/13,26.43,1.14,42.35,2.60
2020/02/14,19.02,0.63,74.98,0.60
2020/02/15,68.21,1.62,68.77,0.78
2020/02/16,65.17,0.43,69.53,1.29
2020/02/17,65.51,0.58,63.64,2.50
2020/02/18,61.38,1.16,54.60,1.02
2020/02/19,56.77,0.42,56.51,0.85
2020/02/20,54.02,0.98,49.37,1.57
2020/02/21,51.09,0.90,52.20,0.68
2020/02/22,54.76,0.52,40.36,2.48
2020/02/23,49.20,1.68,34.28,0.92
2020/02/24,44.48,1.08,36.91,2.25
2020/02/25,32.89,1.92,37.85,2.07
2020/02/26,54.00,5.40,49.70,2.51
2020/02/27,65.57,0.50,53.39,0.57
2020/02/28,64.65,0.48,57.98,0.49
2020/02/29,60.39,1.11,59.33,0.86
2020/03/01,62.20,2.29,63.39,1.28
2020/03/02,60.09,0.54,55.61,0.99
2020/03/03,69.09,0.28,69.67,0.69
2020/03/04,47.96,2.17,74.57,1.35
2020/03/05,65.46,0.54,59.38,0.77
2020/03/06,61.53,1.45,52.72,0.80
2020/03/07,57.00,0.99,52.00,1.34
2020/03/08,63.71,0.45,70.93,1.22
2020/03/09,72.78,0.62,73.43,2.12
2020/03/10,63.37,0.48,74.64,0.48
2020/03/11,70.70,0.91,84.39,0.64
2020/03/12,48.93,9.82,71.64,0.74
2020/03/13,65.93,0.73,54.24,1.00
2020/03/14,57.27,1.06,50.78,0.91
2020/03/15,54.07,0.49,53.18,0.48
2020/03/16,52.98,0.54,62.09,1.12
2020/03/17,67.50,1.38,64.89,4.52
2020/03/18,69.13,2.49,50.41,0.68
2020/03/19,60.52,0.97,56.49,0.54
2020/03/20,60.67,5.04,78.87,1.29
2020/03/21,48.44,0.54,50.26,0.79
2020/03/22,55.58,3.01,58.00,0.97
2020/03/23,54.53,2.53,54.00,1.06
2020/03/24,57.54,0.50,49.67,0.47
2020/03/25,61.20,0.45,49.33,0.47
2020/03/26,61.59,1.24,56.96,2.49
2020/03/27,61.24,0.48,64.93,2.14
2020/03/28,61.89,0.31,54.43,1.38
2020/03/29,59.96,0.59,65.00,0.51
2020/03/30,66.93,0.32,71.17,0.82
2020/03/31,66.83,0.87,74.62,0.61
2020/04/01,64.54,0.50,63.74,1.19
