# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
Date Time aod
2020-05-22 00:00:29 0.028039856	
2020-05-22 00:01:30 0.029606039	
2020-05-22 00:02:29 0.030364338	
2020-05-22 00:03:30 0.031665992	
2020-05-22 00:04:30 0.03296011	
2020-05-22 00:05:29 0.03371357	
2020-05-22 00:06:30 0.03491994	
2020-05-22 00:07:29 0.034870192	
2020-05-22 00:08:30 0.035912782	
2020-05-22 00:09:29 0.03627614	
2020-05-22 00:10:30 0.0362973	
2020-05-22 00:11:29 0.0345762	
2020-05-22 00:12:30 0.03286377	
2020-05-22 00:13:30 0.03156171	
2020-05-22 00:14:29 0.029099809	
2020-05-22 00:15:30 0.026849117	
2020-05-22 00:16:29 0.025769772	
2020-05-22 00:17:30 0.024929194	
2020-05-22 00:18:29 0.023227362	
2020-05-22 00:19:30 0.021332707	
2020-05-22 00:20:29 0.020647505	
2020-05-22 00:21:30 0.019636737	
2020-05-22 00:22:30 0.018431008	
2020-05-22 00:23:29 0.017377164	
2020-05-22 00:24:30 0.017385637	
2020-05-22 00:25:29 0.01860016	
2020-05-22 00:26:30 0.019547436	
2020-05-22 00:27:29 0.020637048	
2020-05-22 00:28:30 0.021736369	
2020-05-22 00:29:29 0.023067897	
2020-05-22 00:30:30 0.024181357	
2020-05-22 00:31:30 0.025501912	
2020-05-22 00:32:29 0.026702072	
2020-05-22 00:33:30 0.027775945	
2020-05-22 00:34:29 0.027980035	
2020-05-22 00:35:30 0.028572457	
2020-05-22 00:36:29 0.029090181	
2020-05-22 00:37:30 0.02960709	
2020-05-22 00:38:29 0.029981796	
2020-05-22 00:39:30 0.030855475	
2020-05-22 00:40:30 0.030962586	
2020-05-22 00:41:29 0.030836737	
2020-05-22 00:42:30 0.030429276	
2020-05-22 00:43:29 0.030308044	
2020-05-22 00:44:30 0.030635817	
2020-05-22 00:45:29 0.029676024	
2020-05-22 00:46:30 0.026838263	
2020-05-22 00:47:29 0.025864843	
2020-05-22 00:48:30 0.024099337	
2020-05-22 00:49:30 0.022642236	
2020-05-22 00:50:29 0.02262005	
2020-05-22 00:51:30 0.023195295	
2020-05-22 00:52:29 0.023591613	
2020-05-22 00:53:30 0.024067642	
2020-05-22 00:54:29 0.024471125	
2020-05-22 00:55:30 0.02548568	
2020-05-22 00:56:29 0.026326032	
2020-05-22 00:57:30 0.02745578	
2020-05-22 00:58:30 0.02773008	
2020-05-22 00:59:29 0.027889283	
2020-05-22 01:00:30 0.028046438	
2020-05-22 01:01:29 0.028145598	
2020-05-22 01:02:30 0.028409349	
2020-05-22 01:03:29 0.029846478	
2020-05-22 01:04:30 0.029960366	
2020-05-22 01:05:29 0.031033827	
2020-05-22 01:06:30 0.030650286	
2020-05-22 01:07:30 0.031503882	
2020-05-22 01:08:29 0.03151251	
2020-05-22 01:09:30 0.031244654	
2020-05-22 01:10:29 0.031479575	
2020-05-22 01:11:30 0.030257981	
2020-05-22 01:12:29 0.028752433	
2020-05-22 01:13:30 0.027307242	
2020-05-22 01:14:29 0.025363816	
2020-05-22 01:15:30 0.023604581	
2020-05-22 01:16:30 0.02290399	
2020-05-22 01:17:29 0.021739304	
2020-05-22 01:18:30 0.02036809	
2020-05-22 01:19:29 0.019999845	
2020-05-22 01:20:30 0.021295706	
2020-05-22 01:21:29 0.021986257	
2020-05-22 01:22:30 0.0244204	
2020-05-22 01:23:29 0.025807125	
2020-05-22 01:24:30 0.026969153	
2020-05-22 01:25:30 0.028239783	
2020-05-22 01:26:29 0.028884092	
2020-05-22 01:27:30 0.029934358	
2020-05-22 01:28:29 0.031121986	
2020-05-22 01:29:30 0.0320386	
2020-05-22 01:30:29 0.03357813	
2020-05-22 01:31:30 0.035821166	
2020-05-22 01:32:29 0.03657011	
2020-05-22 01:33:30 0.037214134	
2020-05-22 01:34:30 0.03764304	
2020-05-22 01:35:29 0.0386258	
2020-05-22 01:36:30 0.038731515	
2020-05-22 01:37:29 0.03870054	
2020-05-22 01:38:30 0.038860936	
2020-05-22 01:39:29 0.038507145	
2020-05-22 01:40:30 0.03864908	
2020-05-22 01:41:29 0.03654214	
2020-05-22 01:42:30 0.035329502	
2020-05-22 01:43:30 0.03297084	
2020-05-22 01:44:29 0.0316025	
2020-05-22 01:45:30 0.029185718	
2020-05-22 01:46:29 0.027882028	
2020-05-22 01:47:30 0.026260564	
2020-05-22 01:48:29 0.025670853	
2020-05-22 01:49:30 0.024213508	
2020-05-22 01:50:29 0.022863325	
2020-05-22 01:51:30 0.022410486	
2020-05-22 01:52:30 0.022375247	
2020-05-22 01:53:29 0.023783732	
2020-05-22 01:54:30 0.024244664	
2020-05-22 01:55:29 0.025499787	
2020-05-22 01:56:30 0.026424587	
2020-05-22 01:57:29 0.028162198	
2020-05-22 01:58:30 0.028876003	
2020-05-22 01:59:29 0.029953806	
2020-05-22 02:00:30 0.031010147	
2020-05-22 02:01:30 0.031020585	
2020-05-22 02:02:29 0.03162126	
2020-05-22 02:03:30 0.03261708	
2020-05-22 02:04:29 0.03337411	
2020-05-22 02:05:30 0.033743642	
2020-05-22 02:06:29 0.034251254	
2020-05-22 02:07:30 0.035258237	
2020-05-22 02:08:29 0.035648856	
2020-05-22 02:09:30 0.035716627	
2020-05-22 02:10:30 0.036285043	
2020-05-22 02:11:29 0.036852755	
2020-05-22 02:12:30 0.035285447	
2020-05-22 02:13:29 0.033700973	
2020-05-22 02:14:30 0.031757906	
2020-05-22 02:15:29 0.030595213	
2020-05-22 02:16:30 0.029599627	
2020-05-22 02:17:29 0.028183723	
2020-05-22 02:18:30 0.02732362	
2020-05-22 02:19:30 0.025914127	
2020-05-22 02:20:29 0.025239306	
