# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
# Input File: MPL100_V3_L15_PBL_20200522_MPL44255_Santa_Cruz_Tenerife.nc4
# Date Time, Mixed Layer Height [km]
2020-05-22 00:00:29 0.67453307	
2020-05-22 00:01:30 0.67453307	
2020-05-22 00:02:29 0.67453307	
2020-05-22 00:03:30 0.67453307	
2020-05-22 00:04:30 0.67453307	
2020-05-22 00:05:29 0.67453307	
2020-05-22 00:06:30 0.67453307	
2020-05-22 00:07:29 0.67453307	
2020-05-22 00:08:30 0.67453307	
2020-05-22 00:09:29 0.67453307	
2020-05-22 00:10:30 0.67453307	
2020-05-22 00:11:29 0.8993774	
2020-05-22 00:12:30 0.8993774	
2020-05-22 00:13:30 0.8993774	
2020-05-22 00:14:29 0.8993774	
2020-05-22 00:15:30 0.8993774	
2020-05-22 00:16:29 0.67453307	
2020-05-22 00:17:30 0.67453307	
2020-05-22 00:18:29 0.67453307	
2020-05-22 00:19:30 0.67453307	
2020-05-22 00:20:29 0.67453307	
2020-05-22 00:21:30 0.8993774	
2020-05-22 00:22:30 0.8993774	
2020-05-22 00:23:29 0.8993774	
2020-05-22 00:24:30 0.67453307	
2020-05-22 00:25:29 0.67453307	
2020-05-22 00:26:30 0.67453307	
2020-05-22 00:27:29 0.67453307	
2020-05-22 00:28:30 0.67453307	
2020-05-22 00:29:29 0.67453307	
2020-05-22 00:30:30 0.67453307	
2020-05-22 00:31:30 0.67453307	
2020-05-22 00:32:29 0.67453307	
2020-05-22 00:33:30 0.67453307	
2020-05-22 00:34:29 0.67453307	
2020-05-22 00:35:30 0.67453307	
2020-05-22 00:36:29 0.67453307	
2020-05-22 00:37:30 0.67453307	
2020-05-22 00:38:29 0.67453307	
2020-05-22 00:39:30 0.67453307	
2020-05-22 00:40:30 0.8993774	
2020-05-22 00:41:29 0.8993774	
2020-05-22 00:42:30 0.8993774	
2020-05-22 00:43:29 0.8993774	
2020-05-22 00:44:30 0.8993774	
2020-05-22 00:45:29 0.8993774	
2020-05-22 00:46:30 0.8993774	
2020-05-22 00:47:29 0.8993774	
2020-05-22 00:48:30 0.8993774	
2020-05-22 00:49:30 0.8993774	
2020-05-22 00:50:29 0.8993774	
2020-05-22 00:51:30 0.8993774	
2020-05-22 00:52:29 0.8993774	
2020-05-22 00:53:30 0.8993774	
2020-05-22 00:54:29 0.8993774	
2020-05-22 00:55:30 0.8993774	
2020-05-22 00:56:29 0.8993774	
2020-05-22 00:57:30 0.8993774	
2020-05-22 00:58:30 0.8993774	
2020-05-22 00:59:29 0.8993774	
2020-05-22 01:00:30 0.8993774	
2020-05-22 01:01:29 0.8993774	
2020-05-22 01:02:30 0.8993774	
2020-05-22 01:03:29 0.8993774	
2020-05-22 01:04:30 0.8993774	
2020-05-22 01:05:29 0.8993774	
2020-05-22 01:06:30 0.8993774	
2020-05-22 01:07:30 0.8993774	
2020-05-22 01:08:29 0.8993774	
2020-05-22 01:09:30 0.8993774	
2020-05-22 01:10:29 0.8993774	
2020-05-22 01:11:30 0.8993774	
2020-05-22 01:12:29 0.8993774	
2020-05-22 01:13:30 0.8993774	
2020-05-22 01:14:29 0.8993774	
2020-05-22 01:15:30 0.8993774	
2020-05-22 01:16:30 0.8993774	
2020-05-22 01:17:29 0.8993774	
2020-05-22 01:18:30 0.8993774	
2020-05-22 01:19:29 0.8993774	
2020-05-22 01:20:30 0.8993774	
2020-05-22 01:21:29 0.8993774	
2020-05-22 01:22:30 0.8993774	
2020-05-22 01:23:29 0.67453307	
2020-05-22 01:24:30 0.67453307	
2020-05-22 01:25:30 0.67453307	
2020-05-22 01:26:29 0.8993774	
2020-05-22 01:27:30 0.8993774	
2020-05-22 01:28:29 0.8993774	
2020-05-22 01:29:30 0.8993774	
2020-05-22 01:30:29 0.8993774	
2020-05-22 01:31:30 0.8993774	
2020-05-22 01:32:29 0.8993774	
2020-05-22 01:33:30 0.8993774	
2020-05-22 01:34:30 0.8993774	
2020-05-22 01:35:29 0.8993774	
2020-05-22 01:36:30 0.8993774	
2020-05-22 01:37:29 0.8993774	
2020-05-22 01:38:30 0.8993774	
2020-05-22 01:39:29 0.8993774	
2020-05-22 01:40:30 0.8993774	
2020-05-22 01:41:29 0.8993774	
2020-05-22 01:42:30 0.8993774	
2020-05-22 01:43:30 0.8993774	
2020-05-22 01:44:29 0.8993774	
2020-05-22 01:45:30 0.8993774	
2020-05-22 01:46:29 0.8993774	
2020-05-22 01:47:30 0.67453307	
2020-05-22 01:48:29 0.67453307	
2020-05-22 01:49:30 0.67453307	
2020-05-22 01:50:29 0.67453307	
2020-05-22 01:51:30 0.67453307	
2020-05-22 01:52:30 0.67453307	
2020-05-22 01:53:29 0.67453307	
2020-05-22 01:54:30 0.8244293	
2020-05-22 01:55:29 0.8244293	
2020-05-22 01:56:30 0.8244293	
2020-05-22 01:57:29 0.8244293	
2020-05-22 01:58:30 0.8244293	
2020-05-22 01:59:29 0.8244293	
2020-05-22 02:00:30 0.8244293	
2020-05-22 02:01:30 0.8244293	
2020-05-22 02:02:29 0.8244293	
2020-05-22 02:03:30 0.8244293	
2020-05-22 02:04:29 0.8244293	
2020-05-22 02:05:30 0.8244293	
2020-05-22 02:06:29 0.8244293	
2020-05-22 02:07:30 0.8244293	
2020-05-22 02:08:29 0.8244293	
2020-05-22 02:09:30 0.8244293	
2020-05-22 02:10:30 0.8244293	
2020-05-22 02:11:29 0.79445016	
2020-05-22 02:12:30 0.800446	
2020-05-22 02:13:29 0.8244293	
2020-05-22 02:14:30 0.8244293	
2020-05-22 02:15:29 0.8244293	
2020-05-22 02:16:30 0.8244293	
2020-05-22 02:17:29 0.8244293	
2020-05-22 02:18:30 0.8244293	
2020-05-22 02:19:30 0.8244293	
2020-05-22 02:20:29 0.67453307	
2020-05-22 02:21:30 0.67453307	
2020-05-22 02:22:29 0.67453307	
2020-05-22 02:23:30 0.67453307	
2020-05-22 02:24:29 0.67453307	
2020-05-22 02:25:30 0.67453307	
2020-05-22 02:26:29 0.67453307	
2020-05-22 02:27:30 0.67453307	
2020-05-22 02:28:30 0.67453307	
2020-05-22 02:29:29 0.67453307	
2020-05-22 02:30:30 0.67453307	
2020-05-22 02:31:29 0.67453307	
2020-05-22 02:32:30 0.67453307	
2020-05-22 02:33:29 0.67453307	
2020-05-22 02:34:30 0.67453307	
2020-05-22 02:35:29 0.67453307	
2020-05-22 02:36:30 0.67453307	
2020-05-22 02:37:30 0.67453307	
2020-05-22 02:38:29 0.7494812	
2020-05-22 02:39:30 0.7494812	
2020-05-22 02:40:29 0.7494812	
