# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
# Date Time, aod
2020-07-07 00:00:29 2.0885904	
2020-07-07 00:01:30 2.0898302	
2020-07-07 00:02:29 2.0908573	
2020-07-07 00:03:30 2.0924635	
2020-07-07 00:04:30 2.0925467	
2020-07-07 00:05:29 2.0945756	
2020-07-07 00:06:30 2.097354	
2020-07-07 00:07:29 2.098884	
2020-07-07 00:08:30 2.100182	
2020-07-07 00:09:29 2.1019285	
2020-07-07 00:10:30 2.1030545	
2020-07-07 00:11:29 2.1015866	
2020-07-07 00:12:30 2.1006243	
2020-07-07 00:13:30 2.1005876	
2020-07-07 00:14:29 2.0995235	
2020-07-07 00:15:30 2.1003354	
2020-07-07 00:16:29 2.1015954	
2020-07-07 00:17:30 2.1010969	
2020-07-07 00:18:29 2.1004272	
2020-07-07 00:19:30 2.1014745	
2020-07-07 00:20:29 2.100549	
2020-07-07 00:21:30 2.0979505	
2020-07-07 00:22:30 2.096971	
2020-07-07 00:23:29 2.0955875	
2020-07-07 00:24:30 2.0959346	
2020-07-07 00:25:29 2.0963166	
2020-07-07 00:26:30 2.0948687	
2020-07-07 00:27:29 2.094108	
2020-07-07 00:28:30 2.0938325	
2020-07-07 00:29:29 2.0927544	
2020-07-07 00:30:30 2.0913644	
2020-07-07 00:31:30 2.0903332	
2020-07-07 00:32:29 2.089572	
2020-07-07 00:33:30 2.0883393	
2020-07-07 00:34:29 2.086375	
2020-07-07 00:35:30 2.0857265	
2020-07-07 00:36:29 2.0834641	
2020-07-07 00:37:30 2.0811303	
2020-07-07 00:38:29 2.0811954	
2020-07-07 00:39:30 2.079616	
2020-07-07 00:40:30 2.0780005	
2020-07-07 00:41:29 2.0777638	
2020-07-07 00:42:30 2.0781596	
2020-07-07 00:43:29 2.0801778	
2020-07-07 00:44:30 2.0815341	
2020-07-07 00:45:29 2.0841186	
2020-07-07 00:46:30 2.0864832	
2020-07-07 00:47:29 2.0891662	
2020-07-07 00:48:30 2.0906408	
2020-07-07 00:49:30 2.09242	
2020-07-07 00:50:29 2.0957475	
2020-07-07 00:51:30 2.0986934	
2020-07-07 00:52:29 2.1000926	
2020-07-07 00:53:30 2.1067522	
2020-07-07 00:54:29 2.1108444	
2020-07-07 00:55:30 2.1140053	
2020-07-07 00:56:29 2.1152308	
2020-07-07 00:57:30 2.1181653	
2020-07-07 00:58:30 2.1193502	
2020-07-07 00:59:29 2.120173	
2020-07-07 01:00:30 2.1196985	
2020-07-07 01:01:29 2.1186984	
